user_uuid,Product Name,revenue
11d64570-ba39-454d-8ec1-85a49870f0bf,one time payment,15
4a95450a-caa6-4268-a246-7f314754c0d3,one time payment,15
1e3ae37f-d9f3-402e-b799-6a65d5068f14,one time payment,15
48e24cce-f47e-4f1a-9ac1-bcd418354cf2,one time payment,15
6b268cb1-6810-4015-81ac-0d1e608469ea,one time payment,15
39da0d14-f379-4f7e-b0ed-fdb569cc5d80,one time payment,15
e09bb68c-aff8-42e0-96b6-64d889a3b8c0,one time payment,15
efc27bef-c04e-4590-ab0d-24e707993688,one time payment,15
20b1b40d-3d26-4dbb-8ac8-8b9595785b80,one time payment,15
f7566f15-fc66-4862-ae89-6ae298213211,one time payment,15
16c5ca67-2627-468a-8f6c-591d24496d91,one time payment,15
24015480-8e5e-475a-aea3-d6daa2a27528,one time payment,15
f1e56e7a-146b-48cd-a442-0b51d05b6b1c,one time payment,15
d9904d49-300a-4310-bc9e-1e267aeacecd,one time payment,15
748d43bc-f633-49f6-915e-89a0e13ca011,one time payment,15
c611a76f-ccd0-48ec-a2a0-1849a3c172e1,one time payment,15
0861f409-2a1a-4f87-b472-e2fbce280bb3,one time payment,15
c511b708-105c-4914-8df0-77301c9b58e2,one time payment,15
56c14557-a302-4dd0-becc-d09ad7fe8885,one time payment,15
1bd5a704-da9f-442a-b269-9c4eff218919,one time payment,15
c592fdb6-5269-4399-9b6d-511c39d0abf9,one time payment,15
33446ed8-ad51-47b2-b462-0a2a837bf608,one time payment,15
a387cd46-2eb9-4f2a-a68f-57c455590041,one time payment,15
86163883-2075-417b-b266-2788e262226b,one time payment,15
9a4e31d3-5931-44d8-aeec-3e043b56677a,one time payment,15
dd6275bc-00eb-4e9f-b5fb-2c353141099c,one time payment,15
6db92b61-6c51-4f13-bb61-35b8f5e1da73,one time payment,15
e0c94255-ee3b-43a0-a83c-1f9cec3baa6e,one time payment,15
bb08b33b-a0af-4e9d-91a1-d3386a1682f2,one time payment,15
e2953a57-7904-48c1-a2da-1f7f253af7cd,one time payment,15
ce6786a1-337e-4434-aaf8-e0950edab7c5,one time payment,15
6caa256d-f5d2-4096-abc7-b735c53ba947,one time payment,15
0882aeb5-2d21-44ca-8702-f46634a3e942,one time payment,15
e82c55aa-cca6-485b-bef0-0408d1711ed3,one time payment,15
9a5768a3-ceb5-460c-94b7-3c24f9008b3a,one time payment,15
6e944e91-47ea-4b7f-95ef-183877c73f80,one time payment,15
425ab07c-82a1-499e-bfc0-4dc674317582,one time payment,15
ab3c50a7-e130-41b5-bb7f-31dfa19aa6b6,one time payment,15
ba6dff0e-21ea-4250-8e44-41420bf821bf,one time payment,15
0694c559-3ff9-4eef-bb2a-c9d4a5a3cbb0,one time payment,15
7df1421f-8e14-44ad-854c-08e35b06986f,one time payment,15
667cfad8-5b2c-457e-b85f-f1a6709c4308,one time payment,15
afcb13e5-88d1-478d-a702-b655978f1382,one time payment,15
0e9f0e27-b158-4593-a948-58bab519a7aa,one time payment,15
e8122c9b-8759-49a6-a209-7637897f8dae,one time payment,15
8c9e050e-1532-48cf-a4eb-f9b60d854cd3,one time payment,15
8ed230de-a966-45a7-b1e7-dd65975ed1b3,one time payment,15
041026ac-b8b9-4f7b-ade4-cbeb34b23982,one time payment,15
47ac107b-a874-40e3-bcba-1eaaeb06d6d3,one time payment,15
7d129c21-811f-4ccd-9bf1-1e6ae6511792,one time payment,15
39fe8bf7-d300-4b2d-bf93-631e42e69a39,one time payment,15
7a9bc983-99a6-42c2-8213-df7d5222ec33,one time payment,15
82d22719-97b3-489a-854e-a15464bc71ff,one time payment,15
b0dc7d4e-41fe-42c2-a32e-899f18910903,one time payment,15
a4445fa8-3e58-4d2b-9117-80957524a212,one time payment,15
b7abcb32-c339-4e1f-bf7c-8ff880dcb815,one time payment,15
a21d4aba-e643-4e32-8415-19c43930fdc6,one time payment,15
75481d5e-4ec7-43c5-8ca1-16be029dd6e7,one time payment,15
dafca4f8-ebe0-402b-88a6-de0237ffe619,one time payment,15
b8fc74d4-646e-4363-a24c-b76b37dbd517,one time payment,15
97214eb0-6b56-463f-a437-424bf5e693e1,one time payment,15
8cc201fd-cd3c-4df3-a24c-343fee8b3f6b,one time payment,15
9cb1ac13-651d-4f60-a5d2-7ce161b2187b,one time payment,15
e4df52d1-1674-48ba-a0e2-8624ecc7ca25,one time payment,15
07d9669e-ea8d-499f-a13e-9306a251acb8,one time payment,15
bd810f08-2d88-471f-b848-736b5726a80a,one time payment,15
31fca626-938a-4180-aab0-8b2c097c0f25,one time payment,15
01482d7d-cd4c-4672-b7fc-8c63eb80fc16,one time payment,15
f149c8a7-c11e-4c8c-849c-049c89403ab3,one time payment,15
2f236c43-9cf3-4d3b-ae12-ff1599989026,one time payment,15
e92472c0-e766-4d54-a041-6584d4be38a1,one time payment,15
753a4a86-b200-4bf1-bb4d-11a5970d14b7,one time payment,15
b02f7837-d448-42fc-b0dc-ef06a38123bd,one time payment,15
4f4ee302-26f2-4655-993b-9245935bf283,one time payment,15
08d92f12-86ef-4a36-a8f1-7f6ac0a70036,one time payment,15
59915416-96b9-44f2-8694-77cd5239c3d2,one time payment,15
a06cdbc3-01ad-4dc6-acfa-f3f322c5d8fd,one time payment,15
5a886129-6d20-4cea-960a-50b2d848c556,one time payment,15
860f39a7-26ca-4676-916b-6f1ccfdd1412,one time payment,15
8d28799a-928c-46b4-baed-2d34ad286558,one time payment,15
c61f4ece-81ba-44eb-ab9e-dc319d497b33,one time payment,15
1e58e79f-2fa9-4a62-95ba-5cca9973194d,one time payment,15
06df88a5-4f23-4d3d-a325-169a043f82db,one time payment,15
8a82bc85-98b6-4779-83e8-92f0ebf7efb5,one time payment,15
6fc1ad53-1441-49d9-b91e-dfa817f11781,one time payment,15
b1759a1e-a749-427a-9ff1-ddafb49f7374,one time payment,15
1fda7389-6a8a-4867-8582-7d316b98704e,one time payment,15
c4302401-a41f-41d8-b973-4782aa0b5bac,one time payment,15
e620c263-497d-4eb3-81f0-6ac15101e6fc,one time payment,15
1c288285-b713-4e77-989a-3b35012d4621,one time payment,15
76727934-7997-4df8-9657-be267c470573,one time payment,15
fce95b2f-e83c-4d0c-88a8-c7ed2c91ba12,one time payment,15
596f65d7-f25e-471b-976b-8f17b04e0a0a,one time payment,15
ab6be108-4264-42e4-a2ea-1321ab1af64e,one time payment,15
fc600955-7955-45cc-857d-3460f73a83e9,one time payment,15
98bcbea4-bdeb-4fb8-a3e1-2d9e648b88f5,one time payment,15
8c89a6d1-3734-48fc-87be-2c71e5cdc127,one time payment,15
04e447e5-dc23-4783-a617-688319b93eac,one time payment,15
61b20e42-2eef-49a9-aedc-c0d8e4af18b9,one time payment,15
dce0d40d-d8d5-43a7-b849-9d189eec67ed,one time payment,15
6858e623-e67f-4e03-a937-13c178a20bb3,one time payment,15
e46c83c1-f749-4ad1-b8aa-0e888f49a831,one time payment,15
cc2d6cf1-96e2-451e-8171-29f5b944760e,one time payment,15
fa1a9793-359d-4cde-9146-002a7e64df18,one time payment,15
99cdfff1-2519-4a2d-9489-4da3142f4902,one time payment,15
c8a326d4-3845-4f08-a91f-9543a265614f,one time payment,15
